game_id,player_a,player_b,first_mover,result,num_moves,avg_move_time_a,avg_move_time_b,error
game_00001,claude_t1,claude_t2,claude_t1,player_b_win,40,4.894,1.848,
game_00002,claude_t1,claude_t2,claude_t1,player_b_win,40,4.995,1.903,
game_00003,claude_t2,claude_t1,claude_t2,draw,42,1.812,4.585,
game_00004,claude_t1,claude_t3,claude_t1,player_b_win,32,4.955,6.025,
game_00005,claude_t3,claude_t1,claude_t3,player_a_win,39,6.871,5.131,
game_00006,claude_t1,claude_t4,claude_t1,draw,42,4.271,2.951,
game_00007,claude_t4,claude_t1,claude_t4,player_a_win,37,3.857,5.250,
game_00008,claude_t1,claude_t5,claude_t1,player_b_win,38,4.868,4.837,
game_00009,claude_t5,claude_t1,claude_t5,player_a_win,27,5.013,5.821,
game_00010,claude_t1,claude_t6,claude_t1,player_a_win,25,5.143,2.720,
game_00011,claude_t6,claude_t1,claude_t6,player_b_win,24,2.753,6.123,
game_00012,claude_t1,claude_t7,claude_t1,player_b_win,38,4.362,1.645,
game_00013,claude_t7,claude_t1,claude_t7,draw,42,2.208,4.037,
game_00014,claude_t1,claude_t8,claude_t1,player_b_win,32,4.592,2.090,
game_00015,claude_t8,claude_t1,claude_t8,draw,42,2.084,4.285,
game_00016,claude_t1,codex_t1,claude_t1,player_b_win,38,5.132,4.494,
game_00017,codex_t1,claude_t1,codex_t1,player_a_win,39,5.024,5.179,
game_00018,claude_t1,codex_t2,claude_t1,player_b_win,36,4.827,1.419,
game_00019,codex_t2,claude_t1,codex_t2,draw,42,1.345,4.123,
game_00020,claude_t1,codex_t3,claude_t1,player_a_win,35,4.366,1.526,
game_00021,codex_t3,claude_t1,codex_t3,player_b_win,20,1.542,5.845,
game_00022,claude_t1,codex_t4,claude_t1,player_a_win,37,3.730,2.781,
game_00023,codex_t4,claude_t1,codex_t4,player_b_win,24,2.837,5.705,
game_00024,claude_t1,codex_t5,claude_t1,player_a_win,13,5.463,1.035,
game_00025,codex_t5,claude_t1,codex_t5,player_b_win,40,0.982,4.430,
game_00026,claude_t1,codex_t6,claude_t1,draw,42,4.547,0.925,
game_00027,codex_t6,claude_t1,codex_t6,player_a_win,35,0.940,4.946,
game_00028,claude_t1,codex_t7,claude_t1,draw,42,3.661,0.978,
game_00029,codex_t7,claude_t1,codex_t7,player_b_win,34,0.961,4.893,
game_00030,claude_t1,codex_t8,claude_t1,player_b_win,36,4.471,1.091,
game_00031,codex_t8,claude_t1,codex_t8,player_b_win,26,1.086,4.581,
game_00032,claude_t1,gemini_t1,claude_t1,player_a_win,1,8.208,0.000,crash:gemini_t1:no_next_move
game_00033,gemini_t1,claude_t1,gemini_t1,player_b_win,0,0.000,0.000,crash:gemini_t1:no_next_move
game_00034,claude_t1,gemini_t2,claude_t1,player_a_win,1,8.208,0.000,crash:gemini_t2:no_next_move
game_00035,gemini_t2,claude_t1,gemini_t2,player_b_win,0,0.000,0.000,crash:gemini_t2:no_next_move
game_00036,claude_t1,gemini_t3,claude_t1,player_a_win,19,4.114,1.303,
game_00037,gemini_t3,claude_t1,gemini_t3,player_a_win,23,1.294,6.288,
game_00038,claude_t1,gemini_t4,claude_t1,player_b_win,34,3.975,0.961,
game_00039,gemini_t4,claude_t1,gemini_t4,player_b_win,34,0.984,4.711,
game_00040,claude_t1,gemini_t5,claude_t1,player_b_win,38,3.309,1.366,
game_00041,gemini_t5,claude_t1,gemini_t5,player_b_win,12,1.536,6.823,
game_00042,claude_t1,gemini_t6,claude_t1,player_a_win,17,5.027,1.102,
game_00043,gemini_t6,claude_t1,gemini_t6,player_b_win,20,1.102,5.585,
game_00044,claude_t1,gemini_t7,claude_t1,player_a_win,31,5.631,1.182,
game_00045,gemini_t7,claude_t1,gemini_t7,player_b_win,38,1.144,4.963,
game_00046,claude_t1,gemini_t8,claude_t1,player_a_win,1,8.206,0.000,crash:gemini_t8:no_next_move
game_00047,gemini_t8,claude_t1,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_00048,claude_t1,pascal_pons_perfect,claude_t1,player_b_win,38,4.315,0.101,
game_00049,pascal_pons_perfect,claude_t1,pascal_pons_perfect,player_a_win,37,0.101,4.799,
game_00050,claude_t1,eval_d1,claude_t1,player_b_win,30,4.765,0.937,
game_00051,eval_d1,claude_t1,eval_d1,player_a_win,35,0.881,4.687,
game_00052,claude_t1,eval_d2,claude_t1,player_a_win,37,4.836,0.786,
game_00053,eval_d2,claude_t1,eval_d2,player_a_win,35,0.891,5.329,
