file,path,lines,spam_flag,cost,hardware,performance,parallel,optimization,budget,safety,hedge,confidence,speed_urg,ambition,sufficiency,stopping,restraint,experiment,dimin_return,good_enough,bias_toward,not_worth,total_matches,cost_per1k,hardware_per1k,performance_per1k,parallel_per1k,optimization_per1k,budget_per1k,safety_per1k,hedge_per1k,confidence_per1k,speed_urg_per1k,ambition_per1k,sufficiency_per1k,stopping_per1k,restraint_per1k,experiment_per1k,dimin_return_per1k,good_enough_per1k,bias_toward_per1k,not_worth_per1k,total_per1k
output.txt,input/transcripts/claude_t1/output.txt,189,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.582
output.txt,input/transcripts/claude_t2/output.txt,2381,False,0,28,10,6,12,7,2,0,0,0,0,0,1,1,0,0,0,0,1,68,0.0,11.76,4.2,2.52,5.04,2.94,0.84,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.42,28.559
output.txt,input/transcripts/claude_t3/output.txt,964,False,1,8,1,3,0,5,0,1,0,2,1,0,0,0,0,0,0,0,0,22,1.037,8.299,1.037,3.112,0.0,5.187,0.0,1.037,0.0,2.075,1.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.822
output.txt,input/transcripts/claude_t4/output.txt,1158,False,0,10,2,3,12,3,1,0,0,0,0,1,0,0,0,0,0,0,0,32,0.0,8.636,1.727,2.591,10.363,2.591,0.864,0.0,0.0,0.0,0.0,0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.634
output.txt,input/transcripts/claude_t5/output.txt,1252,False,0,21,2,2,14,13,2,0,0,0,0,3,0,4,0,1,0,0,0,62,0.0,16.773,1.597,1.597,11.182,10.383,1.597,0.0,0.0,0.0,0.0,2.396,0.0,3.195,0.0,0.799,0.0,0.0,0.0,49.521
output.txt,input/transcripts/claude_t6/output.txt,1578,False,0,32,0,4,15,12,2,0,0,1,2,0,0,2,5,0,0,2,0,77,0.0,20.279,0.0,2.535,9.506,7.605,1.267,0.0,0.0,0.634,1.267,0.0,0.0,1.267,3.169,0.0,0.0,1.267,0.0,48.796
output.txt,input/transcripts/claude_t7/output.txt,1903,False,0,22,6,6,0,8,1,0,0,1,1,0,5,0,0,0,0,0,0,50,0.0,11.561,3.153,3.153,0.0,4.204,0.525,0.0,0.0,0.525,0.525,0.0,2.627,0.0,0.0,0.0,0.0,0.0,0.0,26.274
output.txt,input/transcripts/claude_t8/output.txt,550,False,0,7,0,2,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,15,0.0,12.727,0.0,3.636,0.0,5.455,1.818,0.0,0.0,0.0,0.0,0.0,1.818,1.818,0.0,0.0,0.0,0.0,0.0,27.273
output.txt,input/transcripts/codex_t1/output.txt,3924,False,2,69,6,5,13,18,3,0,2,0,1,0,6,0,15,3,1,0,0,144,0.51,17.584,1.529,1.274,3.313,4.587,0.765,0.0,0.51,0.0,0.255,0.0,1.529,0.0,3.823,0.765,0.255,0.0,0.0,36.697
output.txt,input/transcripts/codex_t2/output.txt,3530,False,5,84,3,1,17,125,43,0,1,2,2,0,3,3,31,3,0,2,2,327,1.416,23.796,0.85,0.283,4.816,35.411,12.181,0.0,0.283,0.567,0.567,0.0,0.85,0.85,8.782,0.85,0.0,0.567,0.567,92.635
